Date,Open,High,Low,Close,Adj Close,Volume
2015-11-16,36000.000000,36800.000000,35450.000000,36300.000000,33017.312500,1236500
2015-11-17,36600.000000,36850.000000,36375.000000,36375.000000,33085.535156,673200
2015-11-18,36275.000000,36600.000000,36100.000000,36525.000000,33221.964844,598800
2015-11-19,36600.000000,37025.000000,36600.000000,36700.000000,33381.144531,1274500
2015-11-20,36700.000000,37250.000000,36650.000000,37250.000000,33881.402344,953000
2015-11-23,37250.000000,37700.000000,37150.000000,37550.000000,34154.277344,806400
2015-11-24,37550.000000,37600.000000,36650.000000,36925.000000,33585.792969,877100
2015-11-25,36925.000000,37825.000000,36925.000000,37800.000000,34381.664063,1788100
2015-11-26,37800.000000,38200.000000,37025.000000,37050.000000,33699.488281,1270900
2015-11-27,37050.000000,38500.000000,36650.000000,38500.000000,35018.367188,900700
2015-11-30,37850.000000,38000.000000,36750.000000,36750.000000,33426.621094,5142500
2015-12-01,37650.000000,37825.000000,36800.000000,37400.000000,34017.839844,1883400
2015-12-02,37000.000000,37575.000000,36625.000000,36775.000000,33758.054688,1506200
2015-12-03,36500.000000,36900.000000,36500.000000,36750.000000,33735.105469,878500
2015-12-04,36550.000000,36875.000000,36025.000000,36175.000000,33207.277344,1796100
2015-12-07,36050.000000,36675.000000,35600.000000,35750.000000,32817.148438,1957100
2015-12-08,35350.000000,35425.000000,35025.000000,35100.000000,32220.468750,2736500
2015-12-09,35100.000000,35100.000000,35100.000000,35100.000000,32220.468750,0
2015-12-10,35100.000000,35450.000000,35100.000000,35375.000000,32472.908203,1693200
2015-12-11,35375.000000,35400.000000,34500.000000,34675.000000,31830.332031,1955700
2015-12-14,35800.000000,35800.000000,34150.000000,35150.000000,32266.365234,1433800
2015-12-15,35000.000000,35150.000000,34525.000000,35125.000000,32243.421875,1878600
2015-12-16,35625.000000,35675.000000,35125.000000,35350.000000,32449.957031,1426000
2015-12-17,36000.000000,37000.000000,35500.000000,37000.000000,33964.597656,3293900
2015-12-18,36100.000000,36500.000000,35800.000000,35875.000000,32931.882813,2067200
2015-12-21,35875.000000,35900.000000,35350.000000,35600.000000,32679.445313,1183400
2015-12-22,35500.000000,36975.000000,35500.000000,36975.000000,33941.644531,1574400
2015-12-23,36975.000000,36975.000000,36250.000000,36650.000000,33643.312500,1203100
2015-12-28,36650.000000,37075.000000,36375.000000,37025.000000,33987.546875,1776100
2015-12-29,37200.000000,37250.000000,37000.000000,37250.000000,34194.085938,1084600
2015-12-30,37300.000000,37625.000000,37000.000000,37000.000000,33964.597656,2431700
2016-01-04,37000.000000,37050.000000,36000.000000,36000.000000,33046.632813,1116800
2016-01-05,36000.000000,36975.000000,35450.000000,35675.000000,32748.291016,3716400
2016-01-06,35800.000000,37500.000000,35800.000000,37425.000000,34354.734375,2618700
2016-01-07,36925.000000,36925.000000,36000.000000,36000.000000,33046.632813,2236400
2016-01-08,36000.000000,36350.000000,35750.000000,36175.000000,33207.277344,3260600
2016-01-11,35900.000000,35925.000000,35300.000000,35325.000000,32427.015625,1940600
